tstep,mn,dy,hr,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
11,1,3,12,1.53280365E+26,1.36921509E+26,1.44721742E+26,1.53399203E+26,1.64939123E+26,1.37613366E+26,1.49904504E+26,1.27008482E+26,1.55431481E+26,1.59496263E+26,1.32727974E+26,1.38499546E+26,1.55007027E+26,1.56444715E+26,1.81132905E+26,1.45364409E+26,1.83511886E+26,1.49962517E+26,1.61768173E+26,1.54216891E+26,1.50345055E+26,1.49617717E+26,1.44507904E+26,1.79401533E+26,1.69779923E+26,1.65080422E+26,1.52579606E+26,1.40333695E+26,1.51076154E+26,1.54961811E+26,1.58427769E+26,1.59607436E+26
12,1,3,18,1.54202384E+26,1.36189523E+26,1.44741116E+26,1.52719649E+26,1.64724584E+26,1.37473202E+26,1.50964083E+26,1.26909693E+26,1.55928319E+26,1.59399590E+26,1.33403756E+26,1.37600923E+26,1.54715005E+26,1.56496864E+26,1.81507252E+26,1.44916831E+26,1.82538290E+26,1.49704861E+26,1.62003517E+26,1.55010063E+26,1.50010522E+26,1.48789982E+26,1.43904747E+26,1.78940182E+26,1.69735745E+26,1.65452708E+26,1.52811520E+26,1.39296209E+26,1.51085977E+26,1.55597142E+26,1.58312839E+26,1.59947244E+26
13,1,4,0,1.54542250E+26,1.36967781E+26,1.44953080E+26,1.52209991E+26,1.64429504E+26,1.37514971E+26,1.50335610E+26,1.27882312E+26,1.55514155E+26,1.59582789E+26,1.34419371E+26,1.37946753E+26,1.54582867E+26,1.57734790E+26,1.81955632E+26,1.44361881E+26,1.82109174E+26,1.48486640E+26,1.60731052E+26,1.56076678E+26,1.49660693E+26,1.48942530E+26,1.44308935E+26,1.77227851E+26,1.68752693E+26,1.65470813E+26,1.52969233E+26,1.38723532E+26,1.50642611E+26,1.55719560E+26,1.58265828E+26,1.60460160E+26
14,1,4,6,1.55200314E+26,1.36353418E+26,1.43814591E+26,1.51376842E+26,1.63427685E+26,1.36185365E+26,1.50995854E+26,1.27822744E+26,1.55662073E+26,1.59372776E+26,1.34750441E+26,1.36927930E+26,1.54379669E+26,1.57867863E+26,1.82282086E+26,1.43524502E+26,1.81105855E+26,1.47050636E+26,1.60174911E+26,1.56957650E+26,1.48644350E+26,1.48173840E+26,1.44142568E+26,1.75972917E+26,1.67785112E+26,1.65287493E+26,1.52924101E+26,1.37484068E+26,1.50027047E+26,1.55966691E+26,1.57125747E+26,1.60698276E+26
15,1,4,12,1.56828296E+26,1.37640813E+26,1.45484377E+26,1.51274210E+26,1.64530326E+26,1.36446232E+26,1.51796510E+26,1.28539104E+26,1.55207215E+26,1.60869410E+26,1.35813485E+26,1.37656131E+26,1.55486480E+26,1.59811571E+26,1.83399837E+26,1.44283939E+26,1.81795382E+26,1.47122998E+26,1.60403112E+26,1.58454174E+26,1.48217869E+26,1.48456647E+26,1.44284940E+26,1.75301845E+26,1.69065704E+26,1.66388839E+26,1.53776204E+26,1.37861136E+26,1.50680650E+26,1.57255688E+26,1.58026256E+26,1.62320969E+26
16,1,4,18,1.57941730E+26,1.37665591E+26,1.46010725E+26,1.50784604E+26,1.64382680E+26,1.35698204E+26,1.51745258E+26,1.28472230E+26,1.55197839E+26,1.60437325E+26,1.35630401E+26,1.36980023E+26,1.55532137E+26,1.60049298E+26,1.83960704E+26,1.43887665E+26,1.81372054E+26,1.46393207E+26,1.60368311E+26,1.59248200E+26,1.47783753E+26,1.48311103E+26,1.44293810E+26,1.74868331E+26,1.68916415E+26,1.66524282E+26,1.54164183E+26,1.37265063E+26,1.51221787E+26,1.58369299E+26,1.58288078E+26,1.62852987E+26
17,1,5,0,1.59153278E+26,1.38440830E+26,1.45718619E+26,1.49862418E+26,1.64675289E+26,1.35105485E+26,1.50879760E+26,1.29689983E+26,1.54996679E+26,1.61307922E+26,1.35657386E+26,1.37701562E+26,1.55902564E+26,1.60185049E+26,1.83917671E+26,1.44045723E+26,1.81432477E+26,1.45472302E+26,1.60156864E+26,1.60201006E+26,1.47647225E+26,1.48290103E+26,1.44238217E+26,1.73188973E+26,1.69049385E+26,1.67674276E+26,1.54274454E+26,1.37011418E+26,1.50867767E+26,1.59184014E+26,1.58531784E+26,1.63483994E+26
18,1,5,6,1.59221974E+26,1.38230033E+26,1.44984823E+26,1.48865492E+26,1.63383818E+26,1.33240547E+26,1.50939787E+26,1.29477022E+26,1.54802454E+26,1.61292174E+26,1.35175801E+26,1.36534570E+26,1.54659655E+26,1.59444445E+26,1.83267653E+26,1.43093047E+26,1.80547682E+26,1.44353554E+26,1.59889458E+26,1.60139349E+26,1.47032740E+26,1.47356533E+26,1.43712496E+26,1.71601286E+26,1.67896576E+26,1.67220414E+26,1.53721853E+26,1.37034334E+26,1.50464518E+26,1.59657385E+26,1.58190316E+26,1.63251971E+26
19,1,5,12,1.60365563E+26,1.39698946E+26,1.45659665E+26,1.48632619E+26,1.63596972E+26,1.33833691E+26,1.51090608E+26,1.31244902E+26,1.55218823E+26,1.62471842E+26,1.35168323E+26,1.36983619E+26,1.55309347E+26,1.60240763E+26,1.83551123E+26,1.43298826E+26,1.80760032E+26,1.45450938E+26,1.60629870E+26,1.60679302E+26,1.47919770E+26,1.47923705E+26,1.44401399E+26,1.71017496E+26,1.68833581E+26,1.69361071E+26,1.54032161E+26,1.37694240E+26,1.51421442E+26,1.60629748E+26,1.59467550E+26,1.64177681E+26
20,1,5,18,1.61197305E+26,1.39732086E+26,1.45620856E+26,1.47459466E+26,1.63433248E+26,1.32738783E+26,1.51591954E+26,1.31207145E+26,1.55175426E+26,1.62248087E+26,1.33982265E+26,1.36241316E+26,1.55027477E+26,1.59730404E+26,1.83597130E+26,1.42377168E+26,1.80447914E+26,1.45433719E+26,1.60501061E+26,1.60742002E+26,1.48053493E+26,1.47801724E+26,1.44275623E+26,1.70138232E+26,1.69150168E+26,1.69877624E+26,1.52765049E+26,1.37709297E+26,1.52148186E+26,1.60782754E+26,1.58760491E+26,1.63903960E+26
