tstep,mn,dy,hr,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
355,3,30,12,1.45461430E+26,1.49563151E+26,1.39514997E+26,1.40272075E+26,1.75014271E+26,1.25622194E+26,1.37895181E+26,1.38523060E+26,1.47175726E+26,1.62434934E+26,1.12842240E+26,1.63907147E+26,1.48056129E+26,1.72546622E+26,1.54782914E+26,1.40620477E+26,1.60848126E+26,1.50845468E+26,1.79791196E+26,1.60436534E+26,1.49324075E+26,1.29370902E+26,1.43856331E+26,1.50299230E+26,1.57186530E+26,1.72667954E+26,1.51273450E+26,1.61137879E+26,1.45504852E+26,1.56143298E+26,1.50215744E+26,1.73950658E+26
356,3,30,18,1.44896072E+26,1.49293755E+26,1.38651871E+26,1.39798540E+26,1.74660946E+26,1.25896555E+26,1.37254723E+26,1.38608991E+26,1.46670774E+26,1.62293187E+26,1.12255918E+26,1.63119263E+26,1.46728839E+26,1.71303409E+26,1.53874278E+26,1.40693479E+26,1.60564797E+26,1.50635792E+26,1.79930107E+26,1.59630246E+26,1.48947307E+26,1.29680013E+26,1.44424468E+26,1.50026217E+26,1.57467601E+26,1.73025006E+26,1.50537818E+26,1.61230644E+26,1.45514573E+26,1.55870724E+26,1.49729202E+26,1.74042407E+26
357,3,31,0,1.44822707E+26,1.49037749E+26,1.39148738E+26,1.40479153E+26,1.74844912E+26,1.26210364E+26,1.36903704E+26,1.39270084E+26,1.46423185E+26,1.62172738E+26,1.11675555E+26,1.63315734E+26,1.46597588E+26,1.71810394E+26,1.53586252E+26,1.41240589E+26,1.61152657E+26,1.50881055E+26,1.80528920E+26,1.59484104E+26,1.49251533E+26,1.29428337E+26,1.44526997E+26,1.49601432E+26,1.57517507E+26,1.73254246E+26,1.50096789E+26,1.60431837E+26,1.45327887E+26,1.55080010E+26,1.49443817E+26,1.73988376E+26
358,3,31,6,1.44900212E+26,1.48888091E+26,1.38734870E+26,1.40652976E+26,1.73259751E+26,1.25195851E+26,1.36089804E+26,1.38674430E+26,1.45738372E+26,1.61500464E+26,1.10496367E+26,1.62672873E+26,1.45568596E+26,1.70744940E+26,1.52082555E+26,1.40462078E+26,1.60020490E+26,1.50315685E+26,1.80367059E+26,1.58062351E+26,1.49045258E+26,1.29101982E+26,1.44296590E+26,1.49031176E+26,1.57467447E+26,1.72444132E+26,1.48308659E+26,1.59586013E+26,1.45194877E+26,1.54352177E+26,1.48592026E+26,1.73278597E+26
359,3,31,12,1.44904768E+26,1.49139367E+26,1.39545508E+26,1.42101514E+26,1.74634194E+26,1.25941908E+26,1.36118783E+26,1.39470756E+26,1.46039624E+26,1.62090299E+26,1.11475345E+26,1.63886575E+26,1.46316682E+26,1.71724443E+26,1.52457505E+26,1.41137745E+26,1.61483098E+26,1.52330387E+26,1.81177743E+26,1.58475127E+26,1.49636956E+26,1.29850934E+26,1.44747895E+26,1.50359467E+26,1.58287243E+26,1.72610763E+26,1.48617665E+26,1.59632415E+26,1.46049936E+26,1.53993211E+26,1.49276020E+26,1.73575326E+26
360,3,31,18,1.43789028E+26,1.49115033E+26,1.39635732E+26,1.43170748E+26,1.73782234E+26,1.25330536E+26,1.35071650E+26,1.39360991E+26,1.44791527E+26,1.62178047E+26,1.10688235E+26,1.62993766E+26,1.45392858E+26,1.71293169E+26,1.51827178E+26,1.41700162E+26,1.61822152E+26,1.53150135E+26,1.81156962E+26,1.57799445E+26,1.49537786E+26,1.29818785E+26,1.45816804E+26,1.51664160E+26,1.58440424E+26,1.72556680E+26,1.47970682E+26,1.59977424E+26,1.46915992E+26,1.52873799E+26,1.49656476E+26,1.73008164E+26
361,4,1,0,1.43328298E+26,1.49010078E+26,1.40091694E+26,1.43855538E+26,1.74256892E+26,1.25749868E+26,1.35212977E+26,1.40203833E+26,1.45089965E+26,1.62158039E+26,1.11105912E+26,1.63786618E+26,1.45674447E+26,1.71858191E+26,1.51026186E+26,1.42064453E+26,1.63103396E+26,1.54351845E+26,1.80986736E+26,1.57192478E+26,1.50339880E+26,1.30338245E+26,1.45915795E+26,1.52669224E+26,1.58597285E+26,1.72232316E+26,1.49045905E+26,1.59706863E+26,1.47919109E+26,1.51717771E+26,1.49791154E+26,1.73117899E+26
362,4,1,6,1.42816814E+26,1.48487924E+26,1.40484446E+26,1.44333021E+26,1.72471107E+26,1.25445163E+26,1.33769281E+26,1.39319082E+26,1.44485505E+26,1.61709363E+26,1.10196226E+26,1.62649584E+26,1.44728128E+26,1.71340907E+26,1.50231071E+26,1.41164755E+26,1.62326725E+26,1.54513856E+26,1.79728592E+26,1.56118211E+26,1.49955463E+26,1.30401679E+26,1.46289571E+26,1.53380830E+26,1.58360502E+26,1.71658000E+26,1.47856594E+26,1.58894565E+26,1.48257408E+26,1.50517053E+26,1.50167224E+26,1.72390751E+26
363,4,1,12,1.43184362E+26,1.49141897E+26,1.41979896E+26,1.45697289E+26,1.73749468E+26,1.26428730E+26,1.33585463E+26,1.40536788E+26,1.45904373E+26,1.62509069E+26,1.11668262E+26,1.63288599E+26,1.45772060E+26,1.72474171E+26,1.50142966E+26,1.42409681E+26,1.64404370E+26,1.55917120E+26,1.80213934E+26,1.58084109E+26,1.50723380E+26,1.32154666E+26,1.46493727E+26,1.54608016E+26,1.59374442E+26,1.71952523E+26,1.48656671E+26,1.59546571E+26,1.49722464E+26,1.50457169E+26,1.51914382E+26,1.73036019E+26
364,4,1,18,1.42677530E+26,1.49365013E+26,1.42827109E+26,1.47177435E+26,1.72380567E+26,1.26365226E+26,1.32430988E+26,1.40249641E+26,1.45910557E+26,1.62948887E+26,1.11532583E+26,1.62235112E+26,1.44918863E+26,1.72121614E+26,1.49669487E+26,1.42362608E+26,1.64475278E+26,1.56014290E+26,1.79260570E+26,1.57953705E+26,1.50557087E+26,1.32726041E+26,1.47296391E+26,1.55192937E+26,1.60849202E+26,1.71716231E+26,1.48806521E+26,1.59975335E+26,1.50765835E+26,1.49823332E+26,1.52048679E+26,1.73053037E+26
365,4,2,0,1.42552823E+26,1.49385328E+26,1.42858243E+26,1.48370211E+26,1.72635144E+26,1.25469796E+26,1.33000313E+26,1.40499938E+26,1.46728679E+26,1.62788915E+26,1.11162107E+26,1.63424618E+26,1.45329603E+26,1.73141064E+26,1.48879475E+26,1.42384960E+26,1.65060452E+26,1.56807979E+26,1.79202306E+26,1.58571349E+26,1.50924174E+26,1.33581441E+26,1.46917600E+26,1.54656971E+26,1.61833255E+26,1.71513964E+26,1.49181745E+26,1.59588199E+26,1.52362061E+26,1.48893334E+26,1.51825418E+26,1.72858380E+26
366,4,2,6,1.41522655E+26,1.49205736E+26,1.42318445E+26,1.48806867E+26,1.71291508E+26,1.24724948E+26,1.31606267E+26,1.39596751E+26,1.47037567E+26,1.62421052E+26,1.10246716E+26,1.62260237E+26,1.44584298E+26,1.72571981E+26,1.47858031E+26,1.41449709E+26,1.65138373E+26,1.55948690E+26,1.77813330E+26,1.57705401E+26,1.50909680E+26,1.33758488E+26,1.46813299E+26,1.54150997E+26,1.63285916E+26,1.71363796E+26,1.48948128E+26,1.58881035E+26,1.53137497E+26,1.48101829E+26,1.51531112E+26,1.71867785E+26
367,4,2,12,1.42040865E+26,1.49859841E+26,1.43964769E+26,1.50179545E+26,1.71686897E+26,1.24294693E+26,1.31247016E+26,1.39321192E+26,1.48571767E+26,1.63407190E+26,1.10473728E+26,1.63600906E+26,1.45208549E+26,1.73379187E+26,1.47851699E+26,1.41855074E+26,1.66342242E+26,1.56815903E+26,1.78553327E+26,1.58544886E+26,1.51932344E+26,1.34935387E+26,1.47219472E+26,1.54507085E+26,1.64987538E+26,1.72003237E+26,1.50537457E+26,1.59290773E+26,1.54620440E+26,1.48725295E+26,1.51660589E+26,1.72663332E+26
368,4,2,18,1.41653629E+26,1.50132381E+26,1.43949323E+26,1.50832974E+26,1.70662536E+26,1.23113594E+26,1.30211469E+26,1.38971180E+26,1.49105633E+26,1.63693441E+26,1.09663142E+26,1.63034599E+26,1.44643442E+26,1.72845246E+26,1.47377158E+26,1.41529553E+26,1.66848487E+26,1.55984530E+26,1.77536532E+26,1.58541880E+26,1.51832572E+26,1.34947974E+26,1.47195250E+26,1.55003128E+26,1.67010367E+26,1.72315305E+26,1.51489913E+26,1.59521717E+26,1.55833831E+26,1.48226504E+26,1.50916496E+26,1.72773274E+26
369,4,3,0,1.42019253E+26,1.50365629E+26,1.43247880E+26,1.51908057E+26,1.70660462E+26,1.22378695E+26,1.30057464E+26,1.38649923E+26,1.50240806E+26,1.64209717E+26,1.09847045E+26,1.64249404E+26,1.44369126E+26,1.73118792E+26,1.47429341E+26,1.41552634E+26,1.67232898E+26,1.56109231E+26,1.77936918E+26,1.58183401E+26,1.52619811E+26,1.35141709E+26,1.46343039E+26,1.54720231E+26,1.67833883E+26,1.72905121E+26,1.52436344E+26,1.59609220E+26,1.56693724E+26,1.47641228E+26,1.50939310E+26,1.73467140E+26
370,4,3,6,1.41487661E+26,1.50006691E+26,1.42453601E+26,1.52071044E+26,1.68557743E+26,1.21334261E+26,1.28708436E+26,1.37354446E+26,1.51182731E+26,1.63189941E+26,1.08286163E+26,1.63154184E+26,1.43407527E+26,1.72262976E+26,1.46529448E+26,1.41061095E+26,1.67090698E+26,1.54225949E+26,1.77710153E+26,1.57544481E+26,1.52409255E+26,1.34837971E+26,1.45656922E+26,1.54581297E+26,1.68487043E+26,1.72208466E+26,1.52555191E+26,1.58888083E+26,1.57564837E+26,1.47116109E+26,1.50250944E+26,1.73264214E+26
371,4,3,12,1.42059711E+26,1.50033620E+26,1.43632561E+26,1.53447623E+26,1.68749301E+26,1.21075846E+26,1.28771913E+26,1.38136883E+26,1.52649389E+26,1.64015798E+26,1.08915486E+26,1.64560811E+26,1.44989557E+26,1.72733877E+26,1.47412517E+26,1.41505210E+26,1.68032655E+26,1.54481593E+26,1.78523226E+26,1.58806392E+26,1.52994586E+26,1.35124425E+26,1.46266420E+26,1.54726771E+26,1.68918753E+26,1.73234456E+26,1.53708151E+26,1.59806646E+26,1.58444761E+26,1.47470676E+26,1.50854312E+26,1.74434017E+26
372,4,3,18,1.41881029E+26,1.50013297E+26,1.43221226E+26,1.53720216E+26,1.67861121E+26,1.20419097E+26,1.28713670E+26,1.37560087E+26,1.52904863E+26,1.63302807E+26,1.07815902E+26,1.64420600E+26,1.45179323E+26,1.72262497E+26,1.47233425E+26,1.42007664E+26,1.67591262E+26,1.53613315E+26,1.78608134E+26,1.59174094E+26,1.53330170E+26,1.34570493E+26,1.46087337E+26,1.55630541E+26,1.69355036E+26,1.73340887E+26,1.53907653E+26,1.60291062E+26,1.58995119E+26,1.47082829E+26,1.49646130E+26,1.74528435E+26
373,4,4,0,1.41608111E+26,1.49421887E+26,1.42683351E+26,1.55123300E+26,1.67801045E+26,1.20310761E+26,1.28527307E+26,1.37674264E+26,1.53465148E+26,1.63509353E+26,1.07910609E+26,1.64486787E+26,1.45876899E+26,1.72137226E+26,1.47489544E+26,1.42228323E+26,1.67998817E+26,1.53212537E+26,1.78723686E+26,1.59828105E+26,1.53662155E+26,1.33642577E+26,1.45555220E+26,1.55196747E+26,1.69158477E+26,1.73593141E+26,1.54284089E+26,1.60284892E+26,1.59780211E+26,1.47056325E+26,1.49924348E+26,1.75191627E+26
374,4,4,6,1.40787064E+26,1.48867177E+26,1.41791021E+26,1.55432989E+26,1.65736440E+26,1.20263606E+26,1.27717741E+26,1.36491662E+26,1.53550596E+26,1.63058371E+26,1.06611773E+26,1.63808824E+26,1.45055362E+26,1.70853351E+26,1.47538488E+26,1.41919714E+26,1.67481932E+26,1.52928813E+26,1.77722867E+26,1.59725754E+26,1.53635460E+26,1.31965643E+26,1.44994091E+26,1.55032218E+26,1.69078696E+26,1.73514256E+26,1.53622910E+26,1.59913554E+26,1.60649763E+26,1.46792029E+26,1.49216679E+26,1.75302318E+26
375,4,4,12,1.41799356E+26,1.48821929E+26,1.41342167E+26,1.56393181E+26,1.66260209E+26,1.20892620E+26,1.28049482E+26,1.37477088E+26,1.54590964E+26,1.64025077E+26,1.06983808E+26,1.65667314E+26,1.46343007E+26,1.71427077E+26,1.48708597E+26,1.42663536E+26,1.68377837E+26,1.53845213E+26,1.78924865E+26,1.60864811E+26,1.54185236E+26,1.31850809E+26,1.45147126E+26,1.54943053E+26,1.69952971E+26,1.74368009E+26,1.53083765E+26,1.60547495E+26,1.61516475E+26,1.47529835E+26,1.49926616E+26,1.76497310E+26
376,4,4,18,1.41537257E+26,1.49060177E+26,1.41095386E+26,1.56476180E+26,1.65333600E+26,1.21106025E+26,1.28128252E+26,1.36967038E+26,1.54655985E+26,1.63803572E+26,1.06478503E+26,1.65038112E+26,1.46375399E+26,1.70391701E+26,1.49129500E+26,1.42263893E+26,1.68345806E+26,1.55200158E+26,1.78366042E+26,1.62048809E+26,1.54321127E+26,1.30907130E+26,1.44905427E+26,1.55750988E+26,1.70490032E+26,1.73958415E+26,1.52750091E+26,1.60634807E+26,1.62330107E+26,1.47962475E+26,1.49558624E+26,1.77352481E+26
377,4,5,0,1.41892857E+26,1.48454236E+26,1.40821550E+26,1.56585759E+26,1.65486645E+26,1.21156204E+26,1.27610882E+26,1.38096358E+26,1.55449171E+26,1.63641216E+26,1.06874653E+26,1.65501051E+26,1.47918587E+26,1.70699054E+26,1.49884259E+26,1.42232328E+26,1.68396542E+26,1.55919134E+26,1.78383770E+26,1.62063865E+26,1.54474659E+26,1.30636557E+26,1.44427861E+26,1.55571008E+26,1.70522580E+26,1.74065333E+26,1.52093011E+26,1.60989310E+26,1.63001552E+26,1.48935396E+26,1.50109717E+26,1.78267777E+26
378,4,5,6,1.41068478E+26,1.48368522E+26,1.40978074E+26,1.55773248E+26,1.63614475E+26,1.20763418E+26,1.26669322E+26,1.37521036E+26,1.55126488E+26,1.63946429E+26,1.05923802E+26,1.64588759E+26,1.47959207E+26,1.69006695E+26,1.50092007E+26,1.41103750E+26,1.67662712E+26,1.55640311E+26,1.77219851E+26,1.61855097E+26,1.53981097E+26,1.29547434E+26,1.44050162E+26,1.56157486E+26,1.70649165E+26,1.73579926E+26,1.51441008E+26,1.60283153E+26,1.63720585E+26,1.48971909E+26,1.49454419E+26,1.78498083E+26
379,4,5,12,1.42247917E+26,1.48576676E+26,1.41992791E+26,1.56377849E+26,1.64207117E+26,1.21673405E+26,1.26615730E+26,1.38973199E+26,1.55821147E+26,1.64588105E+26,1.07597840E+26,1.65301765E+26,1.49675759E+26,1.69473466E+26,1.51978605E+26,1.41226439E+26,1.69854503E+26,1.56684421E+26,1.77625263E+26,1.62839495E+26,1.54573470E+26,1.29989277E+26,1.44322515E+26,1.56672168E+26,1.71235690E+26,1.73938023E+26,1.50965805E+26,1.61259205E+26,1.65102227E+26,1.50747003E+26,1.50865318E+26,1.80290547E+26
380,4,5,18,1.42383218E+26,1.48525480E+26,1.42553310E+26,1.56523734E+26,1.63220115E+26,1.21439576E+26,1.26180938E+26,1.38854426E+26,1.55708315E+26,1.64574762E+26,1.07574280E+26,1.64043456E+26,1.49470945E+26,1.68679336E+26,1.53471096E+26,1.40428852E+26,1.70225443E+26,1.56848853E+26,1.76050522E+26,1.62736793E+26,1.54743443E+26,1.29198312E+26,1.44692428E+26,1.57672157E+26,1.72080162E+26,1.73502058E+26,1.50439892E+26,1.61292855E+26,1.66192656E+26,1.51681331E+26,1.51108881E+26,1.81654701E+26
381,4,6,0,1.43310016E+26,1.48615582E+26,1.43072095E+26,1.56556288E+26,1.63064632E+26,1.22134165E+26,1.25833834E+26,1.39716367E+26,1.56274664E+26,1.64217207E+26,1.09052808E+26,1.63891891E+26,1.50240882E+26,1.68245609E+26,1.54945942E+26,1.40893498E+26,1.70695298E+26,1.56939327E+26,1.75641587E+26,1.63100606E+26,1.54861741E+26,1.28982839E+26,1.44447552E+26,1.57749868E+26,1.72037270E+26,1.73351135E+26,1.49894180E+26,1.61439185E+26,1.66788760E+26,1.52116735E+26,1.51967526E+26,1.82693969E+26
382,4,6,6,1.43922640E+26,1.48409675E+26,1.43425831E+26,1.56311299E+26,1.61890472E+26,1.21841364E+26,1.24445562E+26,1.39311740E+26,1.56005443E+26,1.63863275E+26,1.08957616E+26,1.62539427E+26,1.49234057E+26,1.66351176E+26,1.55579214E+26,1.39432874E+26,1.70641869E+26,1.56415070E+26,1.73492350E+26,1.62868701E+26,1.54596491E+26,1.28693246E+26,1.44338783E+26,1.57888430E+26,1.71062874E+26,1.73007007E+26,1.49210163E+26,1.60735298E+26,1.67391679E+26,1.52407163E+26,1.51685653E+26,1.83058322E+26
383,4,6,12,1.45004010E+26,1.48735358E+26,1.44906452E+26,1.56132282E+26,1.63580958E+26,1.23171137E+26,1.24229452E+26,1.39868744E+26,1.57133069E+26,1.65048370E+26,1.10391427E+26,1.62782231E+26,1.49832941E+26,1.66298163E+26,1.57618694E+26,1.40154583E+26,1.72838544E+26,1.56679695E+26,1.72960458E+26,1.63941682E+26,1.55440790E+26,1.29149751E+26,1.45740819E+26,1.58398016E+26,1.71317637E+26,1.73238468E+26,1.49469370E+26,1.60605882E+26,1.68565074E+26,1.52655996E+26,1.53296101E+26,1.84112561E+26
384,4,6,18,1.46374848E+26,1.48525207E+26,1.45388068E+26,1.56073567E+26,1.63033748E+26,1.23317228E+26,1.23919621E+26,1.40390556E+26,1.57302141E+26,1.65254627E+26,1.09983198E+26,1.62011172E+26,1.48054690E+26,1.65455481E+26,1.58469009E+26,1.40507969E+26,1.73364145E+26,1.56822687E+26,1.71761348E+26,1.64158436E+26,1.55564543E+26,1.29242100E+26,1.46583527E+26,1.59161470E+26,1.70890242E+26,1.73774533E+26,1.49564370E+26,1.59932270E+26,1.69877124E+26,1.51709125E+26,1.53702781E+26,1.84268408E+26
385,4,7,0,1.47066756E+26,1.48484281E+26,1.44745866E+26,1.55458910E+26,1.63315560E+26,1.23320710E+26,1.23353384E+26,1.41523303E+26,1.57684640E+26,1.66125895E+26,1.11621489E+26,1.62855212E+26,1.48585400E+26,1.66259491E+26,1.59369373E+26,1.41377575E+26,1.74247154E+26,1.57308568E+26,1.71209067E+26,1.64236602E+26,1.55368520E+26,1.29501212E+26,1.47357353E+26,1.58679994E+26,1.70294430E+26,1.74357374E+26,1.49648635E+26,1.59617356E+26,1.70692707E+26,1.51010809E+26,1.54846504E+26,1.84171257E+26
386,4,7,6,1.47205285E+26,1.47277939E+26,1.44998802E+26,1.55102015E+26,1.62807450E+26,1.22585809E+26,1.22680060E+26,1.41228580E+26,1.57698615E+26,1.66039937E+26,1.11834090E+26,1.61919035E+26,1.46637666E+26,1.65664031E+26,1.59481029E+26,1.40919419E+26,1.74147492E+26,1.56667812E+26,1.70015431E+26,1.63746194E+26,1.54687907E+26,1.29343464E+26,1.47433605E+26,1.58296162E+26,1.69262629E+26,1.74194872E+26,1.49114458E+26,1.58538807E+26,1.71207993E+26,1.49685323E+26,1.54807911E+26,1.83791834E+26
387,4,7,12,1.48248368E+26,1.48178721E+26,1.46388880E+26,1.54392253E+26,1.64044275E+26,1.23554812E+26,1.23307807E+26,1.42216502E+26,1.58621727E+26,1.67169026E+26,1.13887313E+26,1.63383847E+26,1.47738840E+26,1.66786130E+26,1.61355962E+26,1.42435675E+26,1.75263942E+26,1.57448154E+26,1.70325585E+26,1.64047145E+26,1.55200891E+26,1.30062148E+26,1.48008085E+26,1.58320315E+26,1.69653716E+26,1.74514621E+26,1.50251383E+26,1.58751677E+26,1.72466599E+26,1.49386312E+26,1.56043640E+26,1.84234401E+26
388,4,7,18,1.49321176E+26,1.47234903E+26,1.46628851E+26,1.53677873E+26,1.63852254E+26,1.22801671E+26,1.23640287E+26,1.41568215E+26,1.58658906E+26,1.66778951E+26,1.13845928E+26,1.63186800E+26,1.46789281E+26,1.66913210E+26,1.61189545E+26,1.42827815E+26,1.74515103E+26,1.57324894E+26,1.69789823E+26,1.64456827E+26,1.55258930E+26,1.30103449E+26,1.48882957E+26,1.57930575E+26,1.69266847E+26,1.75083333E+26,1.50767656E+26,1.58352083E+26,1.73202869E+26,1.48257864E+26,1.56510560E+26,1.84429602E+26
389,4,8,0,1.50114709E+26,1.47048059E+26,1.46791696E+26,1.53041927E+26,1.64158506E+26,1.23008533E+26,1.24172636E+26,1.41381138E+26,1.58649926E+26,1.67112853E+26,1.15120475E+26,1.64857071E+26,1.47961151E+26,1.67743876E+26,1.61789997E+26,1.42800873E+26,1.74954689E+26,1.57570328E+26,1.70047094E+26,1.64345807E+26,1.55481318E+26,1.30491812E+26,1.48781353E+26,1.57485450E+26,1.69385653E+26,1.75550481E+26,1.51927406E+26,1.58003353E+26,1.73784714E+26,1.47384716E+26,1.57176002E+26,1.84795964E+26
390,4,8,6,1.50682591E+26,1.46263029E+26,1.46724958E+26,1.51606773E+26,1.63023659E+26,1.22423648E+26,1.24072416E+26,1.40701571E+26,1.58303644E+26,1.66627290E+26,1.15157358E+26,1.64085502E+26,1.46096208E+26,1.66804879E+26,1.61468356E+26,1.42460072E+26,1.72855269E+26,1.56730640E+26,1.69231148E+26,1.63369100E+26,1.54731208E+26,1.30273318E+26,1.48185853E+26,1.56776432E+26,1.68418660E+26,1.74777595E+26,1.51771404E+26,1.58100284E+26,1.73608065E+26,1.46309997E+26,1.56640782E+26,1.84355314E+26
391,4,8,12,1.51868984E+26,1.46492776E+26,1.47552501E+26,1.51625529E+26,1.63792966E+26,1.22276361E+26,1.24093737E+26,1.41081722E+26,1.58346195E+26,1.67218736E+26,1.17387231E+26,1.65151611E+26,1.47693255E+26,1.67914930E+26,1.63405973E+26,1.43247420E+26,1.73013056E+26,1.57310500E+26,1.70257621E+26,1.64011753E+26,1.54946400E+26,1.30821080E+26,1.48006526E+26,1.57136014E+26,1.68507508E+26,1.75348211E+26,1.53053921E+26,1.58476377E+26,1.74768813E+26,1.46415609E+26,1.57532428E+26,1.84916591E+26
392,4,8,18,1.53061622E+26,1.45850158E+26,1.48122087E+26,1.50405403E+26,1.63164538E+26,1.21464649E+26,1.24621638E+26,1.40854706E+26,1.57639814E+26,1.66520298E+26,1.17512225E+26,1.64496388E+26,1.46976622E+26,1.67212284E+26,1.63883857E+26,1.42825045E+26,1.71864916E+26,1.56768417E+26,1.70351465E+26,1.63795680E+26,1.54570299E+26,1.31138097E+26,1.47554068E+26,1.56785571E+26,1.68172180E+26,1.76120015E+26,1.53115856E+26,1.58748966E+26,1.74679754E+26,1.45862497E+26,1.57097185E+26,1.84759254E+26
393,4,9,0,1.53820330E+26,1.45423105E+26,1.48911089E+26,1.49911220E+26,1.63333212E+26,1.22223490E+26,1.24888170E+26,1.41559154E+26,1.57574877E+26,1.66994178E+26,1.18615731E+26,1.65335131E+26,1.47243379E+26,1.67517326E+26,1.65246380E+26,1.42566937E+26,1.71282637E+26,1.56457438E+26,1.71121547E+26,1.63882487E+26,1.53993396E+26,1.31722024E+26,1.46543206E+26,1.56600731E+26,1.67957631E+26,1.76296312E+26,1.53623889E+26,1.59223581E+26,1.75012683E+26,1.46394017E+26,1.56951851E+26,1.85025684E+26
394,4,9,6,1.53614801E+26,1.44568730E+26,1.49831846E+26,1.48459239E+26,1.61452214E+26,1.21792227E+26,1.23877910E+26,1.40635776E+26,1.56791620E+26,1.66321744E+26,1.18563570E+26,1.64298930E+26,1.45260571E+26,1.66500929E+26,1.65928060E+26,1.41706083E+26,1.69482238E+26,1.54863252E+26,1.70761525E+26,1.62621137E+26,1.53437549E+26,1.32358264E+26,1.45038765E+26,1.56081129E+26,1.66992704E+26,1.75692087E+26,1.52986688E+26,1.58740585E+26,1.74296515E+26,1.45731099E+26,1.56250453E+26,1.83964618E+26
395,4,9,12,1.54376414E+26,1.44392717E+26,1.51022581E+26,1.48383643E+26,1.61610814E+26,1.22500131E+26,1.24584655E+26,1.41918096E+26,1.56905823E+26,1.66808677E+26,1.19871835E+26,1.65209694E+26,1.46994473E+26,1.66566206E+26,1.67272286E+26,1.41707606E+26,1.69181809E+26,1.55033726E+26,1.71573403E+26,1.64235281E+26,1.53780632E+26,1.33873505E+26,1.44350665E+26,1.56122470E+26,1.66733099E+26,1.76413907E+26,1.53439524E+26,1.59242422E+26,1.75150839E+26,1.46420288E+26,1.56755447E+26,1.84258421E+26
396,4,9,18,1.55032476E+26,1.43646697E+26,1.51923355E+26,1.47708595E+26,1.60934567E+26,1.22232759E+26,1.24483528E+26,1.42244099E+26,1.56790204E+26,1.66739828E+26,1.19099974E+26,1.64625313E+26,1.46009866E+26,1.66184956E+26,1.67915804E+26,1.41663967E+26,1.68150615E+26,1.55237800E+26,1.71906468E+26,1.63357364E+26,1.53637754E+26,1.34656923E+26,1.43723259E+26,1.55488776E+26,1.66315479E+26,1.76083001E+26,1.52875411E+26,1.58672015E+26,1.74328443E+26,1.46388659E+26,1.56381459E+26,1.83749804E+26
397,4,10,0,1.55168102E+26,1.43368161E+26,1.51924090E+26,1.47597555E+26,1.60486343E+26,1.23280103E+26,1.25417697E+26,1.42735481E+26,1.56670743E+26,1.65860915E+26,1.19586161E+26,1.65080819E+26,1.46674161E+26,1.66578744E+26,1.68777982E+26,1.41960944E+26,1.67466544E+26,1.55503807E+26,1.72725627E+26,1.63704965E+26,1.52933195E+26,1.35475865E+26,1.42898727E+26,1.55247542E+26,1.66268871E+26,1.75959434E+26,1.52634445E+26,1.58129903E+26,1.74092433E+26,1.46215542E+26,1.56920736E+26,1.83231457E+26
398,4,10,6,1.55472502E+26,1.41929282E+26,1.51639850E+26,1.46513981E+26,1.58854671E+26,1.23850122E+26,1.24397915E+26,1.42568617E+26,1.55343068E+26,1.65336776E+26,1.19035198E+26,1.64604078E+26,1.45198450E+26,1.65165787E+26,1.68852812E+26,1.41205365E+26,1.66025225E+26,1.54649172E+26,1.72452033E+26,1.61869925E+26,1.52235578E+26,1.35875519E+26,1.41430734E+26,1.54840111E+26,1.65665271E+26,1.74639168E+26,1.52245909E+26,1.57297700E+26,1.72971409E+26,1.45250686E+26,1.56996700E+26,1.82730028E+26
399,4,10,12,1.56227314E+26,1.42152908E+26,1.53973972E+26,1.46938500E+26,1.59750980E+26,1.24937329E+26,1.26012414E+26,1.43332732E+26,1.55234010E+26,1.64934923E+26,1.21295524E+26,1.65940330E+26,1.46279773E+26,1.65634641E+26,1.69343846E+26,1.41528582E+26,1.66736185E+26,1.55324758E+26,1.73969791E+26,1.63683093E+26,1.52634110E+26,1.37268014E+26,1.41329649E+26,1.54998100E+26,1.65950748E+26,1.74188353E+26,1.52222390E+26,1.57677196E+26,1.72756192E+26,1.45497581E+26,1.58071491E+26,1.82533807E+26
400,4,10,18,1.55575937E+26,1.41113347E+26,1.54578161E+26,1.45991503E+26,1.58390868E+26,1.25925052E+26,1.26269934E+26,1.43030702E+26,1.53995438E+26,1.64423626E+26,1.21228346E+26,1.65745477E+26,1.45243898E+26,1.64614298E+26,1.68120246E+26,1.41267348E+26,1.66595696E+26,1.54987952E+26,1.74540725E+26,1.63277826E+26,1.52299656E+26,1.38013307E+26,1.40685960E+26,1.55169048E+26,1.65498115E+26,1.73407108E+26,1.51896413E+26,1.56690410E+26,1.72377807E+26,1.44547140E+26,1.58748219E+26,1.82178230E+26
