mn,dy,hr,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,3,12,-0.029139558,-1.289867193,-0.688726787,-0.019981057,0.869365697,-1.236547817,-0.289306956,-2.053834204,0.136640455,0.449900913,-1.613050228,-1.168252583,0.10392908,0.214727337,2.117371507,-0.639198384,2.30071237,-0.284836083,0.624990138,0.043035623,-0.255355028,-0.311408808,-0.705206626,1.983939862,1.242431498,0.880255139,-0.083144955,-1.026900308,-0.19901146,0.100444425,0.367555333,0.458468656
1,3,18,0.046645538,-1.336292228,-0.679743513,-0.067191497,0.854487667,-1.237737725,-0.201975075,-2.048751332,0.179154253,0.445661151,-1.550169564,-1.227931967,0.086002037,0.222804283,2.142977365,-0.666253,2.222135334,-0.298651908,0.645577683,0.108655098,-0.275184713,-0.368891711,-0.743955768,1.945890486,1.239219636,0.91038938,-0.06013809,-1.097776369,-0.192616647,0.15372809,0.362225818,0.487707291
1,4,0,0.078023295,-1.29877568,-0.673200481,-0.104687886,0.852599246,-1.255908359,-0.251528504,-2.010539091,0.154163162,0.472903439,-1.498420268,-1.222082157,0.081205238,0.328129573,2.225611093,-0.719515561,2.237639736,-0.396378399,0.562859295,0.198231698,-0.304402103,-0.36066359,-0.723663344,1.855232684,1.191281545,0.93417623,-0.045208198,-1.16122862,-0.227477763,0.170254758,0.369731593,0.541637418
1,4,6,0.163249743,-1.307458341,-0.72522947,-0.135113013,0.805268454,-1.320572276,-0.164843222,-1.973145179,0.199282876,0.488845704,-1.43254584,-1.26262659,0.099211099,0.371410591,2.276562189,-0.74786639,2.184775547,-0.472706338,0.551439879,0.300382547,-0.348341675,-0.385057645,-0.69963591,1.784229323,1.145298058,0.950397688,-0.014373433,-1.219228649,-0.240443556,0.223053565,0.313499881,0.592280384
1,4,12,0.22810593,-1.261462945,-0.652548891,-0.203070711,0.826032318,-1.354201045,-0.162523306,-1.968049723,0.102257576,0.541826979,-1.403322636,-1.260273737,0.123937572,0.459704421,2.290916266,-0.745741641,2.166358718,-0.525338876,0.505627136,0.354326543,-0.440341519,-0.421804661,-0.745663956,1.662250358,1.178124279,0.970313025,-0.008835109,-1.244358777,-0.249150118,0.261285313,0.321106346,0.654514873
1,4,18,0.310898754,-1.246585997,-0.605565618,-0.23886637,0.805651793,-1.397708285,-0.165075019,-1.952761896,0.100130391,0.502594543,-1.402916472,-1.299247034,0.125809073,0.472788773,2.309511772,-0.768645618,2.110668093,-0.57618574,0.49729337,0.411253497,-0.469372769,-0.428865109,-0.737448142,1.611093191,1.153904627,0.970156143,0.020731481,-1.277352064,-0.205284798,0.343741917,0.337503031,0.68815048
1,5,0,0.396614394,-1.196951767,-0.637016129,-0.318202141,0.821464668,-1.453565244,-0.239930304,-1.87022095,0.076815598,0.56238754,-1.411103321,-1.253829296,0.146512229,0.475996379,2.301927432,-0.765724765,2.110722567,-0.655967163,0.47382783,0.477224075,-0.488633774,-0.439172337,-0.750914737,1.476487133,1.157997103,1.052199534,0.021249314,-1.306927328,-0.240853019,0.398979119,0.348798121,0.729809239
1,5,6,0.448350302,-1.167231422,-0.647369305,-0.348705228,0.768654196,-1.551232278,-0.189063369,-1.840880685,0.108215232,0.607677026,-1.402291209,-1.297717615,0.097225128,0.465472168,2.298953844,-0.792964115,2.089619494,-0.695953036,0.499721207,0.518953344,-0.48975747,-0.464837775,-0.745290086,1.401086919,1.115965072,1.063926248,0.025050028,-1.25925484,-0.225641011,0.481860468,0.368951838,0.758506932
1,5,12,0.485465835,-1.112354954,-0.651507339,-0.421656122,0.735299269,-1.565821838,-0.231618917,-1.765971738,0.08755027,0.648310875,-1.462635984,-1.322288014,0.094549047,0.475817005,2.278036468,-0.834033527,2.062245757,-0.667644902,0.505900471,0.509722316,-0.476769398,-0.476465176,-0.748789067,1.309010428,1.140162997,1.180945402,-0.004195396,-1.26734703,-0.206040802,0.505891025,0.416036749,0.780196291
1,5,18,0.560268301,-1.081108279,-0.63081289,-0.490220261,0.731243648,-1.615863719,-0.174222163,-1.732983193,0.099794461,0.64061818,-1.520778644,-1.348036259,0.088481264,0.44809905,2.273111141,-0.878847286,2.03230063,-0.645122619,0.507028712,0.525452674,-0.444796906,-0.464048917,-0.733678515,1.243952294,1.168398208,1.224024452,-0.084519362,-1.235784467,-0.13168884,0.528568895,0.373932934,0.767237477
1,6,0,0.609313097,-1.049910704,-0.634330442,-0.594740604,0.725480046,-1.607931868,-0.251689317,-1.661048027,0.075190481,0.616320133,-1.575028357,-1.324753939,0.121547166,0.516332455,2.258870682,-0.853985893,2.019884297,-0.68519719,0.497707391,0.52698026,-0.418331275,-0.495381665,-0.782291207,1.149147365,1.137576289,1.316307029,-0.080549721,-1.223069853,-0.119393171,0.597985306,0.412573818,0.776417419
1,6,6,0.644508482,-1.013087946,-0.624760249,-0.658209129,0.682169983,-1.651227894,-0.150691879,-1.682922872,0.050964158,0.650273815,-1.660066751,-1.326819564,0.097929684,0.483129881,2.188741026,-0.874869582,1.959069769,-0.662493875,0.579925086,0.50380329,-0.383156499,-0.529449142,-0.751522211,1.122065934,1.160817895,1.398275217,-0.051264632,-1.189337294,-0.077575427,0.627614395,0.393359162,0.744807169
